Ref,Val,Package,PosX,PosY,Rot,Side
"C75","100n","C_0603_1608Metric",136.245301,-99.312001,270.000000,top
"C76","2.2u","C_0805_2012Metric",136.435801,-96.010001,270.000000,top
"C77","2.2u","C_0805_2012Metric",134.340301,-99.121501,270.000000,top
"C78","470n","C_0603_1608Metric",150.723301,-102.106001,90.000000,top
"C79","100n","C_0603_1608Metric",143.383000,-106.476800,180.000000,top
"C80","100n","C_0603_1608Metric",149.072301,-95.946501,270.000000,top
"C81","22n","C_0603_1608Metric",149.008801,-100.455001,270.000000,top
"C82","2.2n","C_0603_1608Metric",136.245301,-102.296501,270.000000,top
"C83","100n","C_0603_1608Metric",150.723301,-99.058001,90.000000,top
"C84","220n","C_0603_1608Metric",149.440601,-77.429901,0.000000,top
"C85","220n","C_0603_1608Metric",145.122601,-77.429901,0.000000,top
"C86","220n","C_0603_1608Metric",140.068001,-77.493401,180.000000,top
"C87","220n","C_0603_1608Metric",135.026101,-77.429901,180.000000,top
"C88","470n","C_0603_1608Metric",142.735001,-76.540901,270.000000,top
"C89","470n","C_0603_1608Metric",137.401001,-76.540901,270.000000,top
"C90","2.2n","C_0603_1608Metric",112.079499,-105.125099,90.000000,top
"C91","330u","CP_Elec_8x10.5",152.323800,-88.277700,270.000000,top
"C92","1n","C_0603_1608Metric",145.122601,-75.753501,180.000000,top
"C93","1n","C_0603_1608Metric",149.440601,-75.626501,180.000000,top
"C94","1n","C_0603_1608Metric",135.026101,-75.715401,0.000000,top
"C95","1n","C_0603_1608Metric",140.131501,-75.651901,0.000000,top
"C96","100n","C_0603_1608Metric",94.589301,-119.068001,90.000000,top
"C97","2.2u","C_0805_2012Metric",94.398801,-122.370001,90.000000,top
"C98","2.2u","C_0805_2012Metric",96.494301,-119.258501,90.000000,top
"C99","470n","C_0603_1608Metric",80.111301,-116.274001,270.000000,top
"C100","100n","C_0603_1608Metric",87.604600,-112.001300,0.000000,top
"C101","100n","C_0603_1608Metric",80.835500,-121.602500,0.000000,top
"C102","22n","C_0603_1608Metric",81.825801,-117.925001,90.000000,top
"C103","2.2n","C_0603_1608Metric",94.589301,-116.083501,90.000000,top
"C104","100n","C_0603_1608Metric",80.111301,-119.322001,270.000000,top
"C105","220n","C_0603_1608Metric",85.534201,-141.178701,180.000000,top
"C106","220n","C_0603_1608Metric",89.979201,-141.178701,180.000000,top
"C107","220n","C_0603_1608Metric",95.033801,-141.115201,0.000000,top
"C108","220n","C_0603_1608Metric",100.177301,-141.178701,0.000000,top
"C109","470n","C_0603_1608Metric",92.366801,-141.947900,90.000000,top
"C110","470n","C_0603_1608Metric",97.700801,-141.922500,90.000000,top
"C111","100n","C_0603_1608Metric",112.092199,-88.424599,180.000000,top
"C112","330u","CP_Elec_8x10.5",103.378000,-129.501900,90.000000,top
"C113","1n","C_0603_1608Metric",89.979201,-142.760700,0.000000,top
"C114","1n","C_0603_1608Metric",85.534201,-142.760700,0.000000,top
"C115","1n","C_0603_1608Metric",100.177301,-142.735300,180.000000,top
"C116","1n","C_0603_1608Metric",95.021400,-142.709900,180.000000,top
"C117","100n","C_0603_1608Metric",119.913400,-118.872000,90.000000,top
